compound_id,safe_id,smiles,category,mw,logp,source
CID46901383,CID46901383,NC(=O)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCNCC2)c1,academic_HTS_hit,380.5,2.4,pubchem
CID78007,CID78007,CCNC(=O)c1cccnc1,academic_HTS_hit,150.18,0.83,pubchem
CID115227,CID115227,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1.Cl,academic_HTS_hit,286.72,2.29,pubchem
CID135409535,CID135409535,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1.Cl.Cl,academic_HTS_hit,357.27,3.2,pubchem
CID24946280,CID24946280,CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,academic_HTS_hit,419.59,4.34,pubchem
CID26216,CID26216,CCC(=O)N(c1ccccn1)C(C)CN1CCCCC1,academic_HTS_hit,275.4,2.7,pubchem
CID71405,CID71405,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1.Cl.Cl,academic_HTS_hit,424.33,2.4,pubchem
CID4463,CID4463,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,academic_HTS_hit,266.3,2.65,pubchem
CID15443,CID15443,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,academic_HTS_hit,327.4,3.01,pubchem
CID54677971,CID54677971,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,academic_HTS_hit,337.38,1.64,pubchem
CID4098,CID4098,CN(C)CCN(Cc1cccs1)c1ccccn1,academic_HTS_hit,261.39,2.71,pubchem
CID10280735,CID10280735,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,academic_HTS_hit,548.07,1.29,pubchem
CID107867,CID107867,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,academic_HTS_hit,421.55,3.51,pubchem
CID4848,CID4848,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,academic_HTS_hit,351.41,1.56,pubchem
CID11667893,CID11667893,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,academic_HTS_hit,373.46,4.04,pubchem
CID7066,CID7066,CN(C)CCN(Cc1ccsc1)c1ccccn1,academic_HTS_hit,261.39,2.71,pubchem
CID56649450,CID56649450,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,academic_HTS_hit,441.48,3.84,pubchem
CID68748835,CID68748835,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,academic_HTS_hit,549.55,3.53,pubchem
CID2519269,CID2519269,Cc1cnc(NC(=O)c2cc(S(=O)(=O)N(C)C)ccc2N2CCCC2)s1,academic_HTS_hit,394.52,2.55,pubchem
CID56971,CID56971,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,academic_HTS_hit,401.49,1.22,pubchem
CID5497,CID5497,CCN(CC)C(=O)c1cccnc1,academic_HTS_hit,178.24,1.56,pubchem
CID4593,CID4593,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,academic_HTS_hit,250.26,1.87,pubchem
CID6450813,CID6450813,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,academic_HTS_hit,376.44,3.67,pubchem
CID10074640,CID10074640,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,academic_HTS_hit,498.66,5.26,pubchem
CID8667,CID8667,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,academic_HTS_hit,297.85,3.13,pubchem
CID100472,CID100472,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,academic_HTS_hit,288.35,3.93,pubchem
CID25161177,CID25161177,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,academic_HTS_hit,506.3,3.98,pubchem
CID491941,CID491941,Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccn3)cc2)sc1S(N)(=O)=O,academic_HTS_hit,402.5,2.37,pubchem
CID135400184,CID135400184,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,academic_HTS_hit,284.34,2.36,pubchem
CID9842556,CID9842556,O=c1c2cccnc2n(-c2cccc([N+](=O)[O-])c2)c(=O)n1Cc1ccncc1,academic_HTS_hit,375.34,1.9,pubchem
CID219990,CID219990,O=C(Nc1ccccn1)c1ccccc1,academic_HTS_hit,198.22,2.33,pubchem
CID682329,CID682329,O=C(NC(=S)Nc1cccnc1)c1ccccc1,academic_HTS_hit,257.32,2.21,pubchem
CID14998470,CID14998470,CCn1c(=O)c2cc(C(N)=O)c(N)nc2n(C2CC2)c1=O,academic_HTS_hit,289.3,-0.41,pubchem
CID46209426,CID46209426,O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1,academic_HTS_hit,311.37,2.61,pubchem
CID74463,CID74463,O=C(Nc1ccccc1)c1cccnc1,academic_HTS_hit,198.22,2.33,pubchem
CID569547,CID569547,O=C(Nc1nccs1)c1ccccc1,academic_HTS_hit,204.25,2.4,pubchem
CID564741,CID564741,O=C(NCc1ccncc1)C(=O)Nc1nccs1,academic_HTS_hit,262.29,0.79,pubchem
CID289925,CID289925,O=Cc1cc2cccnc2s1,academic_HTS_hit,163.2,2.11,pubchem
CID790718,CID790718,Cc1cccnc1NC(=O)Nc1ccccc1,academic_HTS_hit,227.27,3.03,pubchem
CID802099,CID802099,Cc1ccccc1C(=O)NC(=S)Nc1ncccn1,academic_HTS_hit,272.33,1.91,pubchem
CID4868360,CID4868360,Nc1ccc(-c2nc3ccccc3s2)cn1,academic_HTS_hit,227.29,2.94,pubchem
CID5678845,CID5678845,O=c1[nH]c(=S)[nH]c2nc(-c3cccs3)cc(C(F)(F)F)c12,academic_HTS_hit,329.33,3.73,pubchem
CID70169,CID70169,O=C1Nc2cccnc2Nc2ccccc21,academic_HTS_hit,211.22,2.39,pubchem
CID708470,CID708470,O=C(NC(=S)Nc1ccccn1)c1ccccc1,academic_HTS_hit,257.32,2.21,pubchem
CID10749527,CID10749527,O=Cc1cc2ccncc2s1,academic_HTS_hit,163.2,2.11,pubchem
CID11269410,CID11269410,Cc1nc(Cl)cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)n1,academic_HTS_hit,394.29,4.85,pubchem
CID290232,CID290232,Cc1sc2ncnc(N)c2c1C,academic_HTS_hit,179.25,1.89,pubchem
CID1927420,CID1927420,O=C(Nc1ccccn1)C(=O)Nc1ccccn1,academic_HTS_hit,242.24,1.05,pubchem
CID10850461,CID10850461,Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1,academic_HTS_hit,282.3,1.94,pubchem
CID139594706,CID139594706,CN(C)C(=O)c1cccnc1S(=O)(=O)NC(=O)NC(N)=O,academic_HTS_hit,315.31,-1.15,pubchem
CID16661115,CID16661115,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@H](NC(=O)c2nc3c(s2)CNCC3)C1,academic_HTS_hit,534.04,0.95,pubchem
CID59676785,CID59676785,CNC(=O)[C@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@H](NC(=O)c2nc3c(s2)CN(C)CC3)C1,academic_HTS_hit,534.04,0.95,pubchem
CID86279927,CID86279927,CC(=O)c1c(C)c2cnc(Nc3ccc(C4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,academic_HTS_hit,446.56,4.02,pubchem
CID135413516,CID135413516,Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1,academic_HTS_hit,241.25,0.96,pubchem
CID65614,CID65614,CC(Cc1ccccc1)NC=O,academic_HTS_hit,163.22,1.36,pubchem
CID9805776,CID9805776,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3C[C@H](O)CO3)c(Cc3ccnc4ccccc34)sc21,academic_HTS_hit,494.57,2.3,pubchem
CID10966027,CID10966027,c1cc2sccc2c(N2CCNCC2)n1,academic_HTS_hit,219.31,1.71,pubchem
CID9549298,CID9549298,O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1,academic_HTS_hit,483.64,5.8,pubchem
CID979718,CID979718,O=C(Nc1c(-c2cccs2)nc2ccccn12)c1ccc(Cl)cc1,academic_HTS_hit,353.83,4.97,pubchem
CID898760,CID898760,CC(C)c1ccc(C(=O)Nc2ccccn2)cc1,academic_HTS_hit,240.31,3.46,pubchem
CID812443,CID812443,C=CCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,academic_HTS_hit,278.4,3.19,pubchem
